OBJECTID,ATTRIBUTE,SHAPEAREA,SHAPELEN
1, ,289.22405661323,137.967382593586
2,E1UB4L,8757.29038656476,357.906341832043
3,E1UB4L,11008.842432476,384.541009335197
4,E1UB4L,99102.1023291404,1708.44218813687
5,E1UB4L,8916.15913114261,387.121142146772
6,E1UB4L,15694.9019835204,475.844775002605
7,E1UB4L,37693.3076533503,1009.26920312121
8,E1UB4L,20238.6709280581,776.306691408129
9,E1UB4L,8908.80864709534,381.185293476894
10,E1UB4L,7443.5635487598,316.100485225866
11,E1UB4L,8520.89763565677,338.626390703359
12,E1UB4L,103174.705126118,2023.6011643699
13,E1UB4L,10311.7672194087,372.124702880378
14,E1UB4L,14836.2869456567,513.42464386077
15,E1UB4L,13636.1752519214,447.05224756426
16,E1UB4L,5135.2577766028,265.864752653757
17,E1UB4L,4979.84933347586,264.122752825234
18,E1UB4L,5768.4392362877,297.584106606996
19,E1UB4L,5642.53877039642,279.300289474939
20,E1UB4L,9406.98675763296,369.082752438592
21,E1UB4L,28043.5308952393,663.880849969987
22,E1UB4L,57287.4344689784,1146.47732396503
23,E1UB4L,7803.66349771819,329.776421191219
24,E1UB4L,17806.6639560158,538.369797041013
25,E1UB4L,5900.04496381356,285.474254798171
26,E1UB4L,6471.86170124551,299.146090080229
27,E1UB4L,1847.94871064206,171.16449896828
28,E1UB4L,21648.5618911612,661.370841163258
29,E1UB4L,7212.19066824086,319.699349120731
30,E1UB4L,12054.8445879137,417.465709250077
31,E1UB4L,6184.61058079057,288.051147015255
32,E1UB4L,12591.0189057348,407.466988753385
33,E1UB4L,5047.89668270902,264.170806352122
34,E1UB4L,14789.1607603641,445.149535569184
35,E1UB4L,10282.7790845465,378.654279280466
36,E1UB4L,10246.7528133701,399.641914009697
37,E1UB4L,6130.77132803179,290.584568945233
38,E1UB4L,8651.97111265338,345.8112232829
39,E1UB4L,12232.6369124707,434.263900911543
40,E1UB4L,115321.853578294,2087.68294379414
41,E1UB4L,21507.6253404185,558.909847259156
42,E1UB4L,97795.4961408736,1785.50817224772
43,E1UB4L,70589.0785204808,1028.60385002693
44,E1UB4L,30574.6103536431,774.167098965803
45,E1UB4L,4885.92953275508,266.384799853732
46,E1UB4L,5526.76165125494,271.844390977031
47,E1UB4L,18533.5240568708,549.211540855172
48,E1UB4L,8594.87114002717,364.81403686834
49,E1UB4L,43749.0391455037,885.355304716484
50,E1UB4L,261556.393471431,3378.42044128369
51,E1UB4L,7826.10080264383,345.734817253587
52,E1UB4L,6597.11605318943,300.028600112661
53,E1UB4L,58166.0797811096,1052.40870422789
54,E1UB4L,7298.07526312758,314.363860970648
55,E1UB4L,8953.56093081456,346.975056175715
56,E1UB4L,11427.0327378732,397.213708372913
57,E1UB4L,10035.1665463143,409.417358987276
58,E1UB4L,35945.7708499031,810.89766683339
59,E1UB4L,83298.2819699189,1528.83835593538
60,E1UB4L,43670.0690503522,897.727979324271
61,E1UB4L,11370.3034235404,408.185064250762
62,E1UB4L,5076.38449530967,270.5306794436
63,E1UB4L,10408.5120246201,436.324786342217
64,E1UB4L,9456.29686127124,366.690734762614
65,E1UB4L,11961.6939975347,482.978620664502
66,E1UB4L,29933.8971243187,704.729446113857
67,E1UB4L,126449.366392551,1773.6817448204
68,E1UB4L,6402.79471577559,303.809797771072
69,E1UB4L,6415.84393704689,293.4090940125
70,E1UB4L,28433.6270109864,630.915128439881
71,E1UB4L,14533.606009492,538.355815412416
72,E1UB4L,111559.873570876,1479.68497907298
73,E1UB4L,42858.4553508051,1028.90128750784
74,E1UB4L,22941.6335887869,755.74237549118
